### WinPython 2024-03 release (June  22th, 2024)


 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | blake2b-256                                                     
fa2715d98015019192ebf728f253ae9c | ba4f263ef533df404f7c8cc0b47a6eb78f429bfa | 489ab15c35336cdac32b88a5282d7b5631af74afba34ac6cee3ac475ffd7c7dd | Winpython64-3.7.10.0dotPyPy.exe   |   25 763 221 Bytes | 8758c48b8c74ba3621989b9abf2ddcfcd38049de21512ffcc9ae2688156508c9
819d5da22c5b2f025eba789ea3edf725 | 4e67187e3bf949ee7ab85d7fbc873f2ac7691c5a | 959d3f7a29134ec758a048217c3bee1010dd1322c98f2452b853796360b748fd | Winpython64-3.7.10.0PyPy.exe      |  486 605 762 Bytes | a686ffa27b8cfe96aa227cec7ca1ace5da744ea969dfbdbc76c96f2c9c63d514
2f730858920f12c65991b7f7490bbdd2 | f26b443eaad4727c3e765af85e08081772e48bed | 7e95875b3217429b54939d45d69f87b6f2013a6cbd2e08b52429b466785bdba2 | Winpython64-3.8.10.0dot.exe       |   25 375 720 Bytes | 96ef274f4691a66386d173d873e187259729773cb8e3ef6dc224b82493ca6759
6033a8688e3e10c7f2000b1529683abe | 289f45be877469c8237f373b62eaa280f739ed10 | f63295ee104790e80ca1a7e67274d57f1a22aa33dce5850bd9f3464b709739d6 | Winpython32-3.8.10.0dot.exe       |   24 217 953 Bytes | a1946929a4d5c3d58e4413aa43131eefd14db6bb0291c9cd29a161940adabe21
dc35b0436535d39166fbc97d0915d22a | a62f1ce23f4569a995368b31599f67a9ab308a69 | 01f2a00265110a51f1fc91a058f1698aef1ef9a1b70f4e6d09f2c9fdccf6edf8 | Winpython64-3.9.5.0dot.exe        |   25 839 482 Bytes | 020906ab69e829447cfaa8058863636e4af22e35288ad94081c2416db676d71a
5fd4f594ce5219db3c1269cc79d5f0b6 | bcba1b841afeb476a171af4342703ec962ef247e | 5dc6715618e58944668c28525b2dc7aeacc1a38d9a7df75070ee639e10429b05 | Winpython32-3.9.5.0dot.exe        |   24 682 542 Bytes | 87638c83b59a952a71fcaa90aa834634b39c08cea4130342be04635e5cb368ba
dc35b0436535d39166fbc97d0915d22a | a62f1ce23f4569a995368b31599f67a9ab308a69 | 01f2a00265110a51f1fc91a058f1698aef1ef9a1b70f4e6d09f2c9fdccf6edf8 | Winpython64-3.9.5.0dot.exe        |   25 839 482 Bytes | 020906ab69e829447cfaa8058863636e4af22e35288ad94081c2416db676d71a
5fd4f594ce5219db3c1269cc79d5f0b6 | bcba1b841afeb476a171af4342703ec962ef247e | 5dc6715618e58944668c28525b2dc7aeacc1a38d9a7df75070ee639e10429b05 | Winpython32-3.9.5.0dot.exe        |   24 682 542 Bytes | 87638c83b59a952a71fcaa90aa834634b39c08cea4130342be04635e5cb368ba
1783b1eb3e7d124e481898db5c94aeff | ed1476a8122ab2b65cc5b31e5de6691c39da6f15 | 9a2f25ee58a35656a06bafeddba87c47de28cf11931cdbafe0ebd5b5a4eac2d5 | Winpython64-3.9.5.0.exe           |  790 159 865 Bytes | dd5d79c6e306597d51b57f87aabb725028eecf5f3018d2ef6644327bca8604cf


### WinPython 2021-02 release (April 21th, 2021)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size              
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|-------------------
48d1597080832664e542d0850ed9ee2b | 5c9e5a41751eb36d5514361d9cc922efc9b593dc | d097af2074a0c3fcf3ebf87ae106b55fe73be8e576fbcf4e90fc3592b4dd104d | Winpython64-3.8.9.0dot.exe        |   25 315 497 Bytes
d89baf440aa361e07a5c639a80c4c067 | c584af284a0551792283ad998a48243886e56ebd | 9ae5f7600a6b01cd67c5ffda6087f12c9b5eeded2e9365eebe79571e6f1db022 | Winpython32-3.8.9.0dot.exe        |   24 166 205 Bytes
f8bfa05033a173f1cf69e6da02f1f2c6 | 605683f96f34f3c73226a9f72f2d6d375c4ebef2 | 15920bda9c73deb1ec237d991dcf3d9ceca3997d9d0ee0f08214d093c1c5997a | Winpython64-3.9.4.0dot.exe        |   25 769 399 Bytes
e58347849b4e8f271796a7ca5260a242 | bec9c5cb2d99ff960d2a4c389ed685ebdc975115 | c3cc442c171214293c7f062f9fe2e35f5b890961989927564a78b71534f5e584 | Winpython32-3.9.4.0dot.exe        |   24 616 116 Bytes
dbb76613b25a167420c3ac8415643c95 | 28408e1eb3db432591f758607270fc3b84e0f579 | 440c5c299b678a10ee84331f83928b1ac63853cb044773210033287c7350652a | Winpython64-3.8.9.0.exe           |  765 143 976 Bytes
e2426523baecbe7c8ed95a1cf5f773d7 | 43d860ebfeba0f8c6e0bbc11bbc6e0b35dd4168d | 1074dead96e3ffb39dd2376266ff96ed0fab77af0ec75458ef5f9661e0f349d1 | Winpython64-3.9.4.0.exe           |  765 080 556 Bytes
c74c93f38e1f151d1a940c54367ff0bc | d2a064c13e96b5b42d6d9185fe4cf6fad743fccb | e9c353d84c21559313fac550d0fd9f8a73dbc82c5f2257999fc7d4ba140b79b6 | Winpython64-3.9.4.0cod.exe        |  824 500 864 Bytes


### WinPython 2021-01 release (March 10th, 2021)

MD5                              | SHA-1                                    | SHA-256                                                          | Binary                          | Size              
---------------------------------|------------------------------------------|------------------------------------------------------------------|---------------------------------|-------------------
79445bb4d2accdef4edd5f3e2ae95244 | fc364e5e9e5f01c779dc9b04dfa6d016b1e9d761 | c1b5145178ad589e1da0314de415162d275bbaa4cc70a210f2c0c40393c46fda | Winpython64-3.8.8.0dot.exe      |   25 171 579 Bytes
c1214db758d35c04ac3f458638fcd457 | bb223d77295d418bb5b758eb66e247f9dc8ec36e | d727c8354a2903a725db12d326f2dfd27628b64e5b9b58f6d2193265e5f6c408 | Winpython32-3.8.8.0dot.exe      |   24 026 354 Bytes
ced8e9d1f21ebadd1e53cca9c0970e3a | 4f2a5e342e9e541eb8fd6177b53b759ddf5f8490 | b680565c1ec5cc2667e84ed930c02a2d255fbc3c666e968d8d0cd16a017b66b0 | Winpython64-3.8.8.0.exe         |  759 606 316 Bytes
68103129d080d43d24541371a7d62098 | 50a0e61988fd1def21c0c6e9bcae9363c606d1b8 | ee68be4d0c2db402c52ee0d3f2eafc14f57d12d4be2616334aa2b78e63f45378 | Winpython64-3.9.2.0dot.exe      |   25 617 319 Bytes
85cdf9dd4cd79dd7e93aa037f46c338e | 7fdb0e1a9a258a589548b12c63519b4916317c33 | 2ff6b8977163d6df6e8d73365a937dea017b2aaebc8455c00ba661642aa053fa | Winpython32-3.9.2.0dot.exe      |   24 476 905 Bytes
3dcd0d81ab36f893864422895a10d5f7 | 728062114e325ffb27359ec935f4ddaeb45668d8 | 01445bb331fdfeb19f0223a3b9c1435e6b539ef85560990ca9ab352910f8d87e | Winpython64-3.9.2.0.exe         |  757 863 140 Bytes
680a27020d82e1ae1f9960757f14abf9 | 10983a22c64f2fadb49c1c207b9585083bc67f95 | 967d32778aa2951fcbec8d621bf50955273687ae547c8d3e6b2e9dec40044d6a | Winpython64-3.9.2.0cod.exe      |  816 061 586 Bytes


### WinPython 2020-05 release (December 28st, 2020)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                          | Size              
---------------------------------|------------------------------------------|------------------------------------------------------------------|---------------------------------|-------------------
0b1c9b43c03767fda4656ed240aa42df | 2ecd8996fce3d25d6d8fccf43f8576438ba1eeee | 87d5e586a52113b7d28f613e0c70a4973f659649e3ca5aae2cfe139dc1162f22 | Winpython64-3.8.7.0dot.exe      |   25 345 933 Bytes
53334a80740c60d9f6a6a1094e984b3b | 184728336d7a2df25f81e63f5130953b7e4fcc20 | 8f5e054486ec5ce0cbd834221881bb5018e391d61dbe60dba156433088e7a1e7 | Winpython32-3.8.7.0dot.exe      |   24 270 449 Bytes
8f81b3417f2082a4ae80b5dcaabfd10c | 4d64a3f1b98904e5c9bab6f3f80a7894d597fbbe | 687585ca7a546e9e393802d11fa505468adcf5aff844019dc0f396dfc3dab562 | Winpython64-3.8.7.0.exe         |  762 745 203 Bytes
1bba03d0d796b02e273e9e6d56483349 | 8e9a1066cbd06292056e1ddc8bd58f2e798f4aef | d17e9f0b837d1f9d63909ff39b7c44545b79268affd0ac848fd8f05af57745ea | Winpython64-3.8.7.0cod.exe      |  815 119 173 Bytes
6fe21b99f8536182e33f958a407248b1 | c42334b4ae1cd3871e7cbfbbca19b828a2c2cedc | 5a9044f51ba20fa443163013765889c5c1f13e747cf018ac9c2b2c629112762d | Winpython64-3.9.1.0dot.exe      |   25 779 527 Bytes
1fcec7ae0f6e0ed075d1f288905d8e93 | 5754ed0de9c19af18fac1944a6f56eb7be12c18a | cef2b71ea5ed1272d11d3b837b8fa9e6f80bc653ee958aa126d1fcb272ba16b7 | Winpython32-3.9.1.0dot.exe      |   24 710 010 Bytes
715c4a0ebfad9f227958f0c179fb4642 | 0b9c1ba15e94c0f77ff1b41762b9783543ccfcac | 7ecdb34ba326925096e6179277a3b0d031f19898731ec16f44fe9aecebca3dba | Winpython64-3.9.1.0cod.exe      |  805 932 757 Bytes
792f2e4540b08ac3ef202e8086c8781e | 3312dae22ced6d80a1272735a810fb2cd8339ff8 | 2ed6a095513587b18c61ec0e20610a96cdc6f419507c38f73a2538f2e11b5412 | Winpython64-3.9.1.0.exe         |  754 649 487 Bytes


### WinPython 2020-04 release (October 31st, 2020)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                          | Size              
---------------------------------|------------------------------------------|------------------------------------------------------------------|---------------------------------|-------------------
b1963e34837b4ffd5496dcac8b6b9beb | 2d47f86c2cfc9f5770876adae65b93b99e680287 | 93cc3db75dffb4d56b9f64af43294f130f2c222a66de7a1325d0ce8f1ed62e26 | Winpython64-3.9.0.2dot.exe      |   25 480 579 Bytes
0c9c8211e49527fffab9a03d4535aa9f | 05933a1c33122d0bfa74fa2f0786f4dc88c3f570 | c53d31cd58a36bac36aa44fc7e7583b14fb3d9a381611e984184e0ad8d5303a9 | Winpython32-3.9.0.2dot.exe      |   24 334 442 Bytes
9e10b031c98510d4d1ba7e89d80138ab | d1ff73b4138dca68619755680568a5eef977a307 | 9202fcb89683c9ca1d5018d91f1be712c9a0df75f7f7e8ce8e0fc7a117ebc0a6 | Winpython64-3.8.6.0dot.exe      |   25 007 720 Bytes
5cb03444326d884c2ac2254012e1b2aa | 52267451702a4e016bd521536fd7aa04b54d8d33 | 16b5bb3f7b9e0a688106e7fa131ca752ac0d0a34c8e564fe45ffa5c340d9f51f | Winpython32-3.8.6.0dot.exe      |   23 857 445 Bytes
fbc1f2af5f4df131bc18f2471cfe8035 | ec548abcde5da8ad3246c6018f47a5d17ea31e28 | d1457a5732825d0717f54e45e9d1f8ea890974e317d0b797a99b5d70b59d6839 | Winpython64-3.8.6.0cod.exe      |  816 551 869 Bytes
3f06233c878562dfb65235e7fa285719 | 138af3c212cd16698380a0ba957d5cea758594e5 | 3852a7ff115107d0bdfb6d2450c3bc4c84247dc990b939e641282a085625d32d | Winpython64-3.8.6.0.exe         |  756 873 470 Bytes
660054fd98f07bc111bebd77153b38a4 | 06b85fc842fde323cf8b3497ed59c9b9078dd49b | 067b51ab3ea704d56223acaf4064cc10c728058b84228d35aa8ef4aaa8edb962 | Winpython64-3.9.0.2.exe         |  658 459 194 Bytes
dbb6120ad9407485f2a1dc2b8357bfc7 | 1bcab1336d04e7dab6a54fcc8919be155ead0752 | 73325ed4426db50179b32d63ae8f65d300bb50c87d7417aaaa3e33bdf9836250 | Winpython64-3.9.0.2cod.exe      |  805 236 702 Bytes


### WinPython 2020-03 release (August 22nd, 2020)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                          | Size              
---------------------------------|------------------------------------------|------------------------------------------------------------------|---------------------------------|-------------------
5f0c7164cd1dcd2128b626cea1871c71 | 0756ccbd5fd1659b7c03f423d7054a2495439087 | 418d78bb2227c6cc5d1da4898bf5092aad581b9ea00786531fdcae5912f3c935 | Winpython64-3.8.5.0dot.exe      |   24 781 402 Bytes
63acb8be789d36f20eee047481c991f2 | 1f0584fe9879f9570277ab12c74bf9cf79ddd5e4 | 06bbbd837a71eca6b6d8f2d40657be2d3ba49f71700a779c9eacbd62d1b2794b | Winpython32-3.8.5.0dot.exe      |   23 624 688 Bytes
f4a5c3e064555f5dbfa3762cfec1812b | 8eb2eeaf2dd7420cb057df6fa669b1a69308a0f1 | 89443c56b44a0ee3827bf38cf3d4d67202098d7d3b42c2c45e80d498c656b919 | Winpython64-3.8.5.0.exe         |  718 696 511 Bytes
576199aca38c18e68590d3706320f357 | a95d571d20a5b03aaad68338cd8bffeeca8ceb2f | d9056790e68ed8a548ada97c259f532f7be8f29e1c4142c4b31e2105710bdf75 | Winpython64-3.8.5.0cod.exe      |  743 880 821 Bytes
6302b292f6e8c8e28c926d7ae7d0f3ce | e8e20f9b5a9e4d73cb1da6d488275e48d086c680 | 8755f55b85027eeda873ec987896a94dba6f627f0568f5b9515999c93bbb638c | Winpython64-3.9.0.1dotrc.exe    |   25 376 125 Bytes
a165e0254b16cac3264979300814c47e | 71f72f27a53da7cb60942b2f271970a00dc3300b | a6403721b015baf5c3a2fd2e2650e3b50d2ff938333e67790cc10375efe57951 | Winpython32-3.9.0.1dotrc.exe    |   24 217 658 Bytes
4e37f0e452f4b5baf30ec1789747ba59 | 3de50334d1a17c59f26d050d21f6742489bbe12c | ab40846960e8e57db8b43fa330d69fada99eda778408edf16e8a2e84b8e4a8c3 | Winpython64-3.9.0.1codrc.exe    |  635 162 253 Bytes


### WinPython 2020-02 release (May 30th, 2020)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                          | Size              
---------------------------------|------------------------------------------|------------------------------------------------------------------|---------------------------------|-------------------
fb9550ee520688bbe8c559d3a17641ac | 0f24ebd349abe4a927601aed5085bc1ef29bc5d7 | 3a19dc2afcfb5e9ed1f6b6c863ce01f62fab26214e79cdd11d01077a4d058949 | Winpython64-3.7.7.1dotrc.exe    |   23 261 081 Bytes
066085dede3b0797c4b6f9412c596905 | 1b5a0f0720faf979f2568265e4cdb11558321374 | 6aa39bf8792a2853b245418085618e035ac4c290e20823bc3d678c4bd87defc9 | Winpython32-3.7.7.1dotrc.exe    |   22 254 422 Bytes
fe02b8ce4f614e4523afe2242c567feb | 4b443ecef9c4ef457d11900f90074da6f6056dbf | 6f10ce63a2043c86d08264cdfdcb5fa8dad498d546765df1c392839ecc89bbdf | Winpython64-3.8.3.0dotrc.exe    |   24 135 998 Bytes
43cb7be6ca370880df2363e354df3e52 | c45540722d62236b292e96c21588386c74100d20 | 9fcaba999cef828afa82f2b25fac5f198170134480a656796c86752ab57a6b3f | Winpython32-3.8.3.0dotrc.exe    |   23 108 507 Bytes
474a18ef346f6cda4bd6f2c177b2e92c | d14b5f498123c7661dcd517e2806ddd6a3022786 | 9fdc53fdb468c9c5837eb7513cbee3efcb7d791b9744ffee10370556087af05c | Winpython64-3.7.7.1.exe         |  736 749 968 Bytes
077ac421e193f643f4154bee96e78711 | 435dbb4f8ef95bc2e10548c129123ace2ea4691d | cdf73828d7fbf6fa8717fd5b9e7126fb10fb7c4a6e1783814f63390bdca96a0c | Winpython64-3.8.3.0.exe         |  728 591 527 Bytes
4e7b04514d6f20ddfe8474aa0715c2f8 | c990b3852e824a966fd99ccd831b83026c7aabdd | 8a7a16d4337cdc2533eea2e1f9b922d4f1263a907889f7e615e33bcf252aae30 | Winpython64-3.7.7.1cod.exe      |  666 455 987 Bytes
3094ac83518fcf037f29f6199b801e6e | 91cc5c5888ba2ecf7fc1cb014a63224dc5a47360 | f3870e8570b5f3e31821756089af1237859a6db8a971c1fea14a560d4c85a314 | Winpython64-3.8.3.0cod.exe      |  658 361 818 Bytes


### WinPython 2020-01 release (March 26th, 2020)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                          | Size              
---------------------------------|------------------------------------------|------------------------------------------------------------------|---------------------------------|-------------------
c965268a26fe5a93e929154c596dc831 | 0aab5fef1c15eb460164e40f8dc1eb6491c5b00c | 8004297d2d583d844e3b1bd67bd5367de79086bcc76a1544a4cf010d81b6be8b | Winpython64-3.7.7.0dot.exe      |   23 141 445 Bytes
10c4919ffc342d0fcf5d76f37986cc42 | 0ccea60fb426661b63554289249d1507dc8a04c0 | 64303eb2a2c9c3e207a26ad8d5a0c88d51b6f24e241e84e38c2061b92a1a715a | Winpython32-3.7.7.0dot.exe      |   22 136 373 Bytes
646577652d24f274b375c79b3c3a2150 | 9f9745112234cdd65a0428e2e9e3bc4eeeb1723c | f625d4f658902b0f1d5845f3fe6ed911b6f751e5f5c5948bfcfe74d57470e4d4 | Winpython64-3.8.2.0dot.exe      |   23 854 995 Bytes
5f53ae5152f6c522cb1b25164167febd | 5d99b263227219bd527eec6d5544af8057c62330 | b45d8154579114c8934640e114f508921ef1b48f3e7ce10b4d65f9edec1c0a40 | Winpython32-3.8.2.0dot.exe      |   22 783 110 Bytes
20348d6dce7d10808d052abfdf8af1de | 98afa57668a0b38dd202b628ce6347633a607be8 | 97ddd3467450e1f328e546b1d1059874e8a41163c9c3fa59fe50d0c61ef74b99 | Winpython64-3.7.7.0.exe         |  691 801 924 Bytes
cffdc3ec5a8a4672c3f7434c0afa4083 | a92cc482c2ee17c4397cb02c8614823d2e4d1a1f | a4591069de67993b232174f28e5cdfc9217f25dc3d87ee01e54dbb3503cf573e | Winpython64-3.8.2.0cod.exe      |  656 189 440 Bytes
a87368bb97cd76e254ecbbdc178a396f | 9d5ac2449a37ec1ab4500c3b77a2c04cc2ca9d03 | 5f44a8f40c0037e467280caf28377c5d8ff59800a4e07ec8b07feb8304f3e659 | Winpython64-3.8.2.0.exe         |  620 414 873 Bytes
f81ca9424c9aa4749e2fa4dbeb04ded6 | 1ced6da8e401b659411201232a4b136a474cbd1a | f62ec5de7d343300b074d78575f97a92126f36ef08902b325534554c3c259569 | Winpython64-3.7.7.0cod.exe      |  674 653 688 Bytes


### WinPython 2019-04 release (December 23rd, 2019)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                          | Size              
---------------------------------|------------------------------------------|------------------------------------------------------------------|---------------------------------|-------------------
e19742c5787384d11b387fcc862427bb | 5ef1466afd82a7c696e468a593b555e23a8fa3b7 | 632273a65fcf5dd565f8a1187bf596bd54adb0d973cbf224bfbfb658e5e8e155 | Winpython64-3.7.6.0dot.exe      |   23 080 378 Bytes
2c28927c14948b09d4f5b46ff17360c2 | 85afbe3991ed81b66cb853d5fa93b18158d40979 | f51b34dbcfa02040901fafad734b232d3f0686bcfd6d0937a35b3b65aa13b5d3 | Winpython32-3.7.6.0dot.exe      |   22 119 015 Bytes
c6b45ca478090c9f5338cad389cf3b27 | 6ca5db67ec097164f1493f96fb46f77810992f1d | 28163863368c7f63ff5a1cd0a3e7c2544757e7607c54057df5110eefba6d2561 | Winpython64-3.8.1.0dot.exe      |   23 775 397 Bytes
ea69741f3871b4ad9e5934b481c6caaf | 3258c8bac69e10e0b4665d0ffc53d56265f1214e | 489ff4437d5bfece1adaa6917637c6c5eca69e58185493f0ff9dcd2edd5b5bb0 | Winpython32-3.8.1.0dot.exe      |   22 706 735 Bytes
788a41c4afb1a17576291de3f30dfe2d | 917a1e8bdb1ef080ca916d3baca83682649f3009 | e523d55a4bbe85d55f45958b7ea5078d56a9aee6772687bee68ba223ad3f7fdd | Winpython64-3.7.6.0.exe         |  679 764 546 Bytes
48485fece0e487462e1f839573b7ca9f | 9d606d9fcf492fa0cf6c98ff521298158f68c0c7 | 8fa6751fabbaef9a820516e0a6cfac7a10b1ad1a5db2d8d639f9cbba80afe8d1 | Winpython64-3.8.1.0.exe         |  555 895 371 Bytes
5c1376fb69c95b25bc922d44e7e99525 | 2e12e332b359c725e694af9b47a87f3d6abd1c1e | eab496d6f7f2489068e80e0dd4956ca37e8160979d30f4bf555578a21421b811 | Winpython64-3.7.6.0cod.exe      |  670 015 108 Bytes
65d3cf6b30aa41f41c46dba95f9c1e63 | b854ec4021addd6134b390320593ce189f60dd85 | 58eb64fcf18086bacffaa281a8251624476a4ad64bd12bb9583fe898e103feab | Winpython64-3.8.1.0cod.exe      |  639 199 517 Bytes
2ba700bc5a91b159d1c6a4ff6af5ca6e | b8c614a14a6fccc6abb3b50b443dc5ca9387f60e | 45301054ee2259af24c95bab99e46dbf79d802968ba89a03bac283b559e13b35 | Winpython64-3.7.6.0Ps2.exe      |  686 746 033 Bytes
41bb00ff023375152086935601c010a1 | 63381cb9fd89a6b975f33a96b2dbf8bde7387a8b | 9820619d590df78054fc75e86e25e0f4faa74a55c92281a580b327d588cc04fa | Winpython64-3.8.1.0Ps2.exe      |  572 780 385 Bytes


### WinPython 2019-03 release (September 28th, 2019)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                          | Size              
---------------------------------|------------------------------------------|------------------------------------------------------------------|---------------------------------|-------------------
8453a58d431d4824f06f7c1f42f1a194 | 13a5e9f009cbb43df1264db628849550b60da12c | ec97e69de4d01f7c70278be2e7abd91a2ade757878c4d93dbdef7d4fb2acba05 | Winpython64-3.7.4.1Zero.exe     |   27 992 617 Bytes
b6d678ce29a01531142cc89057ef42db | 7d614de4165d12fe0126b9416ed2d6efc10f3c28 | e6e6c85cb6145dc6b3a6868033cd48a4386eddd55ed2ced6940ffbc8622ed7be | Winpython32-3.7.4.1Zero.exe     |   27 007 964 Bytes
9e0e19a4fe1ca7cc33fee7ca60b52aa6 | 311f26c61f47b239359e24f925d96f45af2601d3 | fc6c4d52c97cd99830d05ebc33a3e651b329100f36898576823ffa75eb989e2e | Winpython32-3.7.4.1.exe        |  457 812 318 Bytes
686cc31200c753ca864f276b9798ac13 | e0f20a68957e5e7e33fd06c7c06591a08b88ea9d | f385737eb6c60460a976adc7d1e9a169cf49425f9851f75789cf3ecabb5d7cd4 | Winpython64-3.7.4.1.exe         |  644 778 229 Bytes
e754a306df6221c2a4f0745c9f7ea03f | db497a3c5fb3be5b6d29a701f07fb55a57be2222 | a73cb4097375a0c06023c97c861710058b93a1f1a4de870fb86c7cd25db69eaf | Winpython32-3.7.4.1Ps2.exe      |  463 541 946 Bytes
cf00fb30e5a3c58fa8a61fb20bc18f3a | 99f88506d36855da5da49a5498b26f75dfad0fd3 | a9410fb4d0d6b1b6eafc9f00fae4826b0c7a439a865cfa883ea045e6fc81e3c1 | Winpython64-3.7.4.1Ps2.exe      |  651 989 170 Bytes
8d53722ae27d3812def1f57e8d093828 | e47293233505e84723753e304cc8fe1654bceb4c | 9cfbe3920170ac5223f3f37b3cb819492f269ecabeedc4b10be59fae810626f2 | Winpython64-3.7.4.1cod.exe      |  635 420 068 Bytes

Late complement (WinPython-3.8.0.0, October 19th, 2020)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                          | Size              
---------------------------------|------------------------------------------|------------------------------------------------------------------|---------------------------------|-------------------
58202f1f7d04e81ba83edaf4b1c30970 | 17281a168b2d2855fa0d1e94220e16cd2fb0fc6f | 5882665af26d91a5eb5e5bcf37578d2ddb822f23c75cb5408ea7f8c5f6a73ab0 | Winpython64-3.8.0.0dot.exe      |   23 708 759 Bytes
39efc06b286a3fb0c7338e3ffe78e2b0 | cb923c1d62c7a61e8187f0edde1eba43253ccdd7 | 701265ef5fb43739f1e649a156f8b8bd4ccde8632dcd16a33a6f7e63ac8a05c7 | Winpython32-3.8.0.0dot.exe      |   22 637 174 Bytes
80b75bcc66235f11133788a3e06308fd | dfeca5ec0c831c4b29361ae53a07a1585e2a3f86 | e4e1162f0084dbb9434f5e12160236abfda482bf589ffbcaa360bf244fa98125 | Winpython32-3.8.0.0.exe         |  433 866 399 Bytes
7c7681af65e6513f3a7dab0e880903a5 | ed58e72379afd20171ee98cf32f68dcef62bd99c | fd1c5061f59c078bf212e9fb6d5a68261b958cb4b93800303d47b4c0c6a5e17c | Winpython64-3.8.0.0.exe         |  510 423 691 Bytes
8f532bb2022828cebce4b6b4f2289141 | dbf728b43e4202160929b576b0629c7812df32dc | 3e936616d1f83ccef9a3549647b5b6baa6eda918c18380b7bdac399d608dbf09 | Winpython64-3.8.0.0cod.exe      |  588 818 158 Bytes


### WinPython 2019-02 release (July 19th, 2019)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                          | Size              
---------------------------------|------------------------------------------|------------------------------------------------------------------|---------------------------------|-------------------
4df0d37fc7a8b6673d0b142882cf9330 | 37f30a0d382fbe171ad086b3548b12a306a0b410 | 2e92da91ddbbb739cf1d21ea670bc53d1f599ea5d1a690422af93b796e590aa9 | Winpython64-3.7.4.0Zero.exe     |   27 832 170 Bytes
bed6b3373598a3c37f7475afc7204a43 | 396d76e0c656e857a48d8735eecc2b51c030e840 | c49459e3b397192df7e613c55860604c8470a53c068b037478d9ebfd992c7856 | Winpython32-3.7.4.0Zero.exe     |   26 861 943 Bytes
3c33f533c7aa79e9e92f98473b38887d | d35671ebd4415c7c9d0623848f4c3d4b2f413e83 | 0a53bba8d413278317fa5d5a886973123cad9b2ba837a979b4337464c74fad6a | Winpython32-3.7.4.0.exe         |  460 260 504 Bytes
d4e03077d3945ae2a86b6d11a1ca89a3 | 6dd5652d817c12adf14b45e65b8bfa9e7803a4f3 | 34fbc2dd199a577eedd3ed122d8eba06a60f21a8a69975dfcc3e2b8da1aba11f | Winpython32-3.7.4.0Ps2.exe      |  466 081 704 Bytes
3ff8ce4646d24305d1fcae58c54eeabd | 2bff4d814cd0b5a25fd13e050d02172074f77ce5 | 6c5c3a3b941fa17d92f9a3fb1459ba53298f0ab73098df734e961b59323eb9b0 | Winpython64-3.7.4.0Ps2.exe      |  654 300 203 Bytes
f630753b3f1b7740429e3d8b5afbb5a2 | bb4e779c7446ef3437956868574d8618bf155c5e | 5701b68128a69926f8b7a136fc3e3b1e0b64b07e6ccb21d1995db3d879617a49 | Winpython64-3.7.4.0.exe         |  646 472 863 Bytes


### WinPython 2019-01 release (March 9th, 2019)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                          | Size              
---------------------------------|------------------------------------------|------------------------------------------------------------------|---------------------------------|-------------------
af0fd4452aab6f0603b843a7cc7cb53d | 0c5f289c7a6d0eec248a903d3ca0876c06f22c1f | acfc2933071b3514de206485770512957f3119630585225571215ea5c0ba53b1 | Winpython64-3.6.8.0Zero.exe     |   27 034 990 Bytes
d2bd491428e22391cd19732a91d88720 | ce111ba013b922bbf34a4afc82abc572003624c4 | c20024700be85f01f8607f10e40cb696a330039f2564c831ace43442506530cf | Winpython32-3.6.8.0Zero.exe     |   26 310 310 Bytes
81f83854f547a7b25a56cbfe87f0c3b7 | 5fac410215bd22c3fe33cf2881309620b5f4d72f | 33060b8180e7ce536256874ddf97e383cae22cc3f3b1de3e1b000d899c140b31 | Winpython64-3.7.2.0Zero.exe     |   27 758 006 Bytes
36776779b8859e857a9358c88137d2c5 | 7298cbd1e215547011541ce06c7aeccf526cf1c3 | e24c4d4f183f478cba9104ddeac9b44a4908642c7ddab80fe452323e22c7ac75 | Winpython32-3.7.2.0Zero.exe     |   26 973 857 Bytes
f84c018a0c231507f678f6bf9340daa8 | b17dbedd7ec048a6a230a223c0a9e180d23cb7ef | c9519148f6e996859b0d920ac6dd99085a988e17970b0a893617a14260bdd41d | Winpython32-3.6.8.0Ps2.exe      |  437 574 028 Bytes
16d95f14986a858af494d785445dc440 | 74c093422e21ac8f1b2aca91e61935f229c86384 | d722554b10b7e1700bf61978a61fd2d119d6ca12a3c6e869251df8a2f1e7e617 | Winpython64-3.6.8.0Ps2.exe      |  588 383 206 Bytes
